time	hru_evap(1)	soil_runoff(1)	soil_moist(1)	soil_rechr(1)	runoff(1)	meltrunoff(1)	infil(1)	hru_actet(1)	Sdex(1)	Sdexcess(1)	basinflow_m(1)	gwoutflow_m(1)	outflow_m(1)	runoutflow_m(1)	Sd(1)
units	(mm/int)	(mm/int)	(mm)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)
40820.04167	0	0	225	35	0	0	0	0	0	0	0	0	0	0	12.5
40820.08333	0	0	225	35	0	0	0	0	0	0	0	0	0	0	12.5
40820.125	0	0	225	35	0	0	0	0	0	0	0	0	0	0	12.5
40820.16667	0	0	225	35	0	0	0	0	0	0	0	0	0	0	12.5
40820.20833	0	0	225	35	0	0	0	0	0	0	0	0	0	0	12.5
40820.25	0	0	225	35	0	0	0	0	0	0	0	0	0	0	12.5
40820.29167	0	0	225	35	0	0	0	0	0	0	0	0	0	0	12.5
40820.33333	0.0714005	0	224.967	34.9667	0	0	0	0.0371028	0	0	0	0	0	0	12.4962
40820.375	0.159462	0	224.892	34.8923	0	0	0	0.0827921	0	0	0	0	0	0	12.4879
40820.41667	0.277397	0	224.763	34.7631	0	0	0	0.143745	0	0	0	0	0	0	12.4733
40820.45833	0.377471	0	224.588	34.588	0	0	0	0.194947	0	0	0	0	0	0	12.4534
40820.5	0.439169	0	224.385	34.3853	0	0	0	0.225776	0	0	0	0	0	0	12.4303
40820.54167	0.428315	0	224.189	34.1887	0	0	0	0.219027	0	0	0	0	0	0	12.4079
40820.58333	0.395295	0	224.008	34.0084	0	0	0	0.201095	0	0	0	0	0	0	12.3871
40820.625	0.359067	0	223.845	33.8454	0	0	0	0.181793	0	0	0	0	0	0	12.3683
40820.66667	0.307213	0	223.707	33.7066	0	0	0	0.154865	0	0	0	0	0	0	12.3522
40820.70833	0.191144	0	223.621	33.6206	0	0	0	0.0959976	0	0	0	0	0	0	12.3422
40820.75	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40820.79167	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40820.83333	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40820.875	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40820.91667	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40820.95833	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40821	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40821.04167	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40821.08333	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40821.125	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40821.16667	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40821.20833	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40821.25	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40821.29167	0	0	223.621	33.6206	0	0	0	0	0	0	0	0	0	0	12.3422
40821.33333	0.0575121	0	223.595	33.5948	0	0	0	0.0288174	0	0	0	0	0	0	12.3392
40821.375	0.15537	0	223.525	33.5251	0	0	0	0.0777966	0	0	0	0	0	0	12.3311
40821.41667	0.268472	0	223.405	33.405	0	0	0	0.134177	0	0	0	0	0	0	12.3171
40821.45833	0.370884	0	223.24	33.2396	0	0	0	0.18476	0	0	0	0	0	0	12.2977
40821.5	0.398873	0	223.063	33.0626	0	0	0	0.197814	0	0	0	0	0	0	12.2769
